title ,text,subject,date
Ferdy Sambo Akan Dieksekusi Mati Pada 13 Februari 2023,"TEPAT TANGGAL 13 FEBRUARI SAMBO JALANI EKSEKUSI MATI, INI BARU KEADILAN !! MAHFUD BERHASIL LOBI HAKIM AGAR VONIS MATI SAMBO",Kriminal,2023
TSUNAMI DI SALAH SEBUAH RESORT TEPI PANTAI TURKI,tsunami di salah sebuah resort di tepi pantai turkeye #PrayForTurkey,Bencana Alam,2023
Pabrik Nuklir Turki terbakar #TurkeyEarthquake #turkeyearthquake2023,BREAKING: Pembangkit nuklir Turki terbakar. Ledakan besar telah terjadi. Seluruh dunia dalam bahaya. Bahan radioaktif dihilangkan dari pabrik dengan menular. Pergi. #PrayForTurkey #TurkeyEarthquake #turkeyearthquake2023 @Turkey #TurkeyQuake #FreeNnamdiKanu # BiafraExit,Bencana Alam,2023
JOKOWI INCAR BABI PANGGANG SAAT PESTA IMLEK,Kasih info mase… Ini pesta imlek & Lurah Joe malah ngincar babi panggang. Tak tahu apa itu B2…?      Mungkin Lurah Joe lupa kalau ngaku muslim dan dianggap titisan Umar bin Khattab dan ngira bahwa dulu berhaji ke Mekkah & Madinah itu sekedar piknik,Lain-lain,2023
BRI Bagikan Subsidi Pengentasan Kemiskinan dari Pemerintah Rp 5 Juta,"BRI National Government Poverty Relief Subsidy??6 February, 2023 Congratulations! BRI National Government Poverty Relief Subsidy Through the questionnaire, you will have a chance to get 5000000 Rupiah . http://aheadshorthand[dot]top/bri-v2w/tb[dot]php?gk=hf1675413844594?",Penipuan,2023
"Pencegahan awal gejala stroke untuk penderita riwayat hipertensi, diabetes dan kolestrol","Pencegahan awal gejala stroke untuk penderita riwayat hipertensi, diabetes dan kolestrol Kalo ada kram2/kesemutan di tangan dan kaki anda.. Ikat jari tangan dan jari kaki pake karet gelang satu persatu (kalo perlu semua jari kaki dan jari tangan) selama 2-3 menit (kalo darahnya sudah menghitam) tusuk pake jarum pen (beli di apotik atau lazada) di keluarkan darahnya dan lepaskan karet gelangnya, jarumnya harus yang steril (ilmu dasar bekam darah khusus stroke) ini tanda2 awal stroke, kaki tangan, leher, paha, betis, telapak kaki, wajah dan badan sering kram/kesemutan, apalagi badan sebelah kiri, sering terjatuh yg kita pegang tanpa di sadari.. artinya aliran darah dan saraf sudah tidak stabil.. jaga pola makan, pola hidup sehat, olahraga ringan, hindari pikiranberat/stres dan biasakan meminum air dewa 2x sehari biar pun kita kaya raya, pangkat/jabatan tinggi dan reputasi bagus kalo kena stroke, tak guna.. Waspadai sebelum terlambat.. kalo kena stroke, jangankan untuk berbicara, jalan dan bergerak aja pun susah ?????????????? semoga kita terhindar dari stroke dan sehat selalu.. amiin yraa ??????",Kesehatan,2023
Demo besar-besaran di Australia Mereka bawa kain Merah-Putih Dan Meneriakan nama Jokowi,INI WAJIB DIKABARKAN ke Kaum Kadrun. Demo besar-besaran di Australia Mereka bawa kain Merah-Putih Dan Meneriakan nama Jokowi. Tidak ada dibelahan dunia ini pendemo seperti ini. Adakah dibelahan Timur tengah teriak Rizieq atau Anies dlm Demonya?? Pruuuut,Politik,2023
"Eks Danjen kopassus sebut Buzzer Anies Mahluk Pemakan Bangkai, Tukang Fitnah Dan Adu Domba","Eks Danjen kopassus sebut Buzzer Anies Mahluk Pemakan Bangkai, Tukang Fitnah Dan Adu Domba",Lain-lain,2023
"Video Kapal China Masuk Natuna,TNI Siaga Tempur! TERKINI!","Kapal China Masuk Natuna,TNI Siaga Tempur !! -TERKINI !! #indonesiaku #indonesia #nkri #tni #militer #china #cina #tiongkok",Internasional,2023
Puluhan Tentara Ukraina Dikubur Sembarangan di Kuburan Masal,"18+ Peringatan! :warning: Ini adalah seberapa besar rasa hormat yang dimiliki Ukraina untuk para tentara yang gugur & ketika para istri, ibu, dan lain-lain bertanya di mana laki-laki mereka, mereka diberitahu bahwa laki-laki mereka hilang ketika berperang",Internasional,2023
Video Kehidupan di Amsterdam,Enam detik di Amsterdam yang sangat semarak,Internasional,2023
CHINA KETAR KETIR!!TEPAT HARI INI JOKOWI AMBIL LAHKAH BEGINI,CHINA KETAR KETIR!!TEPAT HARI INI JOKOWI AMBIL LAHKAH BEGINI,Internasional,2023
Video Kemunculan Burung Garuda di Jawa Timur,"Yang menonton vidio ini beruntung bisa melihat Burung Garuda dalam wujud nyata, walau hanya dalam Video. Simpan video ini sebagai Dokumentasi, karena Burung Garuda Yg menjadi Lambang Negara kita ini Sangat Langka dan sebagian orang menganggapnya sebagai Mitos bahwa Tidak Ada burung yang suka melebarkan sayapnya hingga 24 Jam ….. Sangat Gagah, Ditakuti Semua Burung. Di Dunia Ini dia adalah Rajanya Burung. Ternyata Burung Garuda Bukan Hanya Mitos Atau Dongeng. Dalam Cerita Ramayana Dia Adalah Jatayu. Burung Yang Sangat Jarang Menampakkan Dirinya. Tapi Baru2 Ini Garuda Telah Menampakkan Dirinya Di Daerah Hutan Gunung Penanggungan, Jawa Timur. Burung Yg Sayapnya Luar Biasa Lebar Dan sangat Indah. Mudah2 an Dengan Kemunculan Burung Ini menjadi Penanda Negara kita Republik Indonesia Tetap Kuat dan Jaya. Semoga Saudara2 Ku Yang menyaksikan Video Ini senantiasa diberikan rahmat berkah kesehatan, Panjang Umur, Bahagia lahir dan batin ??????",Lain-lain,2023
NYATA!!! Penampakan Kota Gaib Saranjana… VIDEO AMATIR NOKIA 3660 ANTARA 2003/2004,"“NYATA!!! Penampakan Kota Gaib Saranjana… :cold_sweat:. VIDEO AMATIR NOKIA 3660 ANTARA 2003/2004” ~ akun TikTok @hanna.insomania, 13 Desember 2021 “Penampakan Nyata Kota Gaib Saranjana” ~ akun TikTok @adiaranggi666, 6 Agustus 2022 “Alam Jin – Kota Ghaib Saranjana Video amatir Nokia 3660 tahun 2003 2004. Gerbang dimensi Alam Manusia dan Alam Jin Robek. Terlihat penampakan salah satu sudut Kerajaan Ghaib. Sekarang mungkin sudah berubah menjadi Negara Saranjana. Pusat peradaban Alam Jin yang Maju dan Berteknologi Tinggi. Suasana Langit Alam Jin berbeda dengan Langit Alam manusia. Memang negara jin ini sangat luas wilayahnya, bagi yang kasyaf mungkin melihat 7 gerbang. Dan gerbang utama ada di pulau… Kota… Penduduk utamanya adalah bangsa jin dan ada pula bangsa manusia. Penduduk jin yang pinggiran ciri khasnya tidak mempunyai garis di bawah hidung dan bertelinga runcing seperti elf. Semuanya beragama Islam.. Konon istana Saranjana ini adalah…",Lain-lain,2023
#Tsunami menghantam pantai #Turki beberapa menit yang lalu setelah #Gempa Bumi,"#Tsunami menghantam pantai #Turki beberapa menit yang lalu setelah #Gempa Bumi. #PrayForTurkey #????? #earthquaketurkey 7,5 lainnya #gempa bumi #Turkiye #Syria”.",Bencana Alam,2023
Indonesia Siap Akhiri Perang dengan Australia,GUNCANG BUMI AUSTRALIA!!INDONESIA NYATAKAN SIAP AKHIRI PERANG ASAL ADA SYARAT INI.,Internasional,2023
PENCULIKAN ANAK MENGGUNAKAN MOBIL AVANZA DI MADURA,"Siapapun yg punya grup madura tolong sebarkan, ini ke jadiannya di bangkalan penculiknya pake mobil avanza",Kriminal,2023
"4 Februari 2023, Deklarasi tambah 1 Periode lagi ini di Hadiri Langsung Oleh Presiden RI Joko Widodo","Deklarasi tambah 1 Periode lagi ini di Hadiri Langsung Oleh Presiden RI Joko Widodo, dan kelihatannya beliau senang sekali.”",Pemerintahan,2023
Tentara Cina Sudah Masuk Indonesia Tengah Malam Secara Terang-terangan Pakai Seragam,"Sudah terang2an pakai seragam militer? Gila ini beneran…… Tentara Cina sudah masuk Indonesia, tengah malam, untuk Apa.?!? Siap² saja Anak Cucu dijajah Aseng, atau siap jadi Mata² Cina / Pengkhianat bagi Negeri ini.!!! Mentri Pertahannya bahkan tidak merasakan bahaya ??",Pemerintahan,2023
Video “CHINA PANIK TOTAL RIBUAN PASUKAN DIRGANTARA INDONESIA PENUHI DARATAN TIONGKOK”,"“CHINA PANIK TOTAL RIBUAN PASUKAN DIRGANTARA INDONESIA PENUHI DARATAN TIONGKOK” “Perang Asia Pecah.!!! Dikomando Jokowi, TNI Pastikan Ambil Alih Wilayah Ini”",Pemerintahan,2023
MINUM ES SECARA RUTIN LEBIH BERBAHAYA DARI ROKOK,"Ternyata : MINUM ES SECARA RUTIN LEBIH BERBAHAYA DARI ROKOK Ada sepuluh bahaya dari minum air ES ? 1. Membekukan Makanan Beku nya makanan berminyak yang kita makan dan membuat proses pencernaan makanan menjadi lambat… Bayangkan lemak dari makanan berminyak menumpuk di saluran cerna kita ? Ibarat sampah yang menyumbat gorong-gorong, mengkonsumsi air es setelah makan, akan membuat proses pencernaan jadi lambat, ini karena dinding usus yang menyempit, mengakibat kan tidak bisa menyerap makanan dengan baik dan akhir nya gangguan proses pencernaan pun akan terjadi… ? 2. Memicu timbul nya batu ginjal Memicu terbentuk nya batu ginjal, bagi kita yang mempunyai resiko pembentukan batu ginjal, sangat tidak dianjurkan minum air teh es, hal ini di karena kan ada nya kandungan zat oxalate dalam air teh es (bahaya air teh es manis)… Zat oxalate adalah biang utama pemicu terbentuk nya batu ginjal, yang di sarankan untuk diminum adalah air putih, jus lemon atau air dengan tambahan lemon… Zat yang terkandung dalam lemon adalah, baik untuk orang yang memiliki resiko pembentukan batu ginjal, seperti Sitrat, tinggi nya kandungan sitrat dalam lemon, bisa mencegah batu ginjal… ? 3. Menyebab kan pusing Saat metabolisme tubuh terganggu, tubuh kita tidak bisa langsung beradaptasi, ketika terjadi perubahan suhu yang mendadak tatkala kita minum es…. Akibat nya suplai oksigen ke organ-organ tubuh berkurang, termasuk ke otak, dampak nya, kita akan merasa pusing… ? 4. Perut yang membuncit Adakah yang senang memiliki perut buncit ?, susah bergerak, berat dan sangat mengganggu penampilan… Di perut kita terdapat bantalan lemak yang fungsi nya untuk menghangat kan, termasuk menghangat kan air es yang kita minum… Semakin banyak air es yang dikonsumsi, bantalan lemak nya juga akan bertambah, dari sini lah sumber perut buncit… Apalagi bila tidak di iringi dengan olah raga teratur, maka bertambah lah bantalan lemak tersebut dan tambah buncit… ? 5. Begah Ketika minuman dingin masuk ke tubuh, enzim di lambung akan bereaksi dengan suhu dingin… Otot perut menjadi kram, selanjut nya perut terasa kembung akibat muncul nya gas dalam perut kita… ? 6. Jadi Terus Merasa Haus Sesudah minum air es, kok haus lagi ? Hilang nya cairan secara cepat di tubuh, adalah dampak dari minum air es… Cukupi kebutuhan cairan tubuh kita dengan minum air putih… Setelah berolah raga pun di saran kan untuk meminum air putih, agar kebutuhan cairan terpenuhi… ? 7. Memperlambat detak jantung Rangsangan pada saraf vagus akibat minum air es, bisa memperlambat kinerja jantung… Perlu diketahui, saraf vagus memiliki peranan penting dalam kegiatan tidak sadar tubuh, misal nya detak jantung… ? 8. Terjadi pembekuan di otak Meminum air es akan meningkatkan aliran darah menuju otak, sehingga kita tiba-tiba merasa pusing yang kemudian perlahan hilang (pembekuan otak)… Orang dengan riwayat migrain, berpotensi besar mengalami pembekuan otak… Organ yang sangat sensitif terhadap suhu ini (otak), harus dipastikan tetap hangat… Minum lah air biasa, apalagi sehabis makan, jangan memperberat kerja tubuh dengan meminum air es, sayangi tubuh kita… ? 9. Hilang nya nutrisi dalam tubuh Agar suhu tubuh menjadi normal kembali sesudah minum air es, tubuh kita perlu kerja ekstra. Padahal tubuh kita juga harus mencerna makanan dan menyerap nutrisi dari makanan tersebut… Karena energi tubuh banyak terpakai untuk mengatur suhu badan kita, maka nutrisi dari makanan yang kita konsumsi jadi tidak terserap secara optimal… ? 10. Memicu radang tenggorokan Radang tenggorokan di karena kan ada nya lendir di lapisan kerongkongan. Pemicu lendir tersebut adalah minuman yang terlalu dingin… Bahaya minum air es setelah makan, memang harus di hindari, karena ada baik nya kita mengkonsumsi air hangat setelah makan… Manfaat minum air hangat setelah makan cukup baik bagi kesehatan kita… Semoga Bermanfaat !!!… Salam sehat selalu dan tetap semangat…",Kesehatan,2023
Video Tahun 1956 Telah Memprediksi Pandemi COVID-19,"Wow, ini adalah video dari tahun 1956. Mereka meramalkan semua yang kita alami saat ini. Mereka bahkan tahu tahun persisnya itu akan terjadi… 2020. Sepertinya mereka merencanakannya",Kesehatan,2023
Akun Telegram Ternak Uang,#SEMUABISAINVESTASI Ternak uang. Jasa Tanam Modal 100%. Amanah & Terpercaya. Karena Sudah Di Verifikasi OJK. Keamanan Di Jamin 100%. Yang baru gabung dan belum paham bisa langsung DM admin. https://t[dot]me/Adm_Ternakuangofficiall,Penipuan,2023
KALIMANTAN TOLAK KEDATANGAN JOKOWI IKN TERANCAM Gagal SUKU DAYAK NGAMUK,“NEWS KALIMANTAN TOLAK KEDATANGAN JOKOWI… !! – IKN TERANCAM Gagal… !! SUKU DAYAK NGAMUK !! VIRAL HARI”,Pemerintahan,2023
DITEMUKAN BATU BERMUATAN LISTRIK DI KONGO,Fakta Mengejutkan! Telah Ditemukan batu Bermuatan Listrik di Republik Demokratik Kongo yang Diyakini sebagai Vibranium dalam Film “Black Panther”,Lain-lain,2023
RUMAH CAK NUN DISEGEL DENSUS 88,D3NSUS 88 B0RONG KELUARGA CAK NVN DI S3RET P4KSA,Kriminal,2023
Mahfud MD Dipecat dari Menkopolhukam,"tak ada kata ampun & maaf, Mahfud MD dip3cat dari M3nkopolhukam!” “BERSIH BERSIH KABINET. DI PECAT DARI MEKOPOLHUKAM. LANGKAH TEGAS JKW BIKIN MAHFUD BERAKHIR MENGENASKAN",Pemerintahan,2023
Ayah Ria Ricis Meninggal Januari 2023,"INNALILLAHI: Jenazah Tiba di Rumah Duka Ria Ricis, Semoga Beliau Tenang di Sana",Lain-lain,2023
PETARUHKAN NYAWA DEMI NKRI!! SEKUTU SEIMAN RI KIRIMKAN RIBUAN PASUKAN ELITE KE PERBATASAN LAKUKAN INI,PETARUHKAN NYAWA DEMI NKRI!! SEKUTU SEIMAN RI KIRIMKAN RIBUAN PASUKAN ELITE KE PERBATASAN LAKUKAN INI,Pemerintahan,2023
Walikota Solo Mengeluarkan Perda Tawarkan Rp 1 Juta Bagi Warganya yang Ingin Berhenti Merokok,"bercanda gmn, jadi walikota solo aja sombong sampai ngeluarkan perda yg gak mutu gini apanya yg mau kita banggakan",Pemerintahan,2023
"Link Kuesioner PT KAI Berhadiah Rp5,000,000","Congratulations! KAI 77th Anniversary Government Subsidy! Through the questionnaire, you will have a chance to get 5000000 Rupiah",Penipuan,2023
Kondisi Memanas antara Suku Dayak dengan Penduduk Cina di Kalimantan,BRAVO suku Dayak mempertahankan harga diri NKRI.untuk melindungi aset2 negara dr oligarki,Lain-lain,2023
Gunung Semeru Meletus Menelan Ratusan Nyawa,"Berita hari ini! Satu Dusun Ludes Seketika, Ratusan Nyawa Melayang",Bencana Alam,2023
Ibunda Ashanty Meninggal Januari 2023,"“INNALILLAHI: Setelah Pencurian di Rumah Ashanty, Kini Beliau di Tinggal Orang Tercinta”",Lain-lain,2023
Ashanty Nekat Datangkan Polisi Ke Rumah Pencuri Tasnya,"Mrinding!! Ashanty Nekat Datangi Rumah Pencuri Tas Mewah, Hingga Bawa Polisi, Anang Marah Besar?",Lain-lain,2023
"Survei Pengguna Chrome, Berhadiah Apple iphone 13 Pro","Selamat anda terpilih secara pribadi untuk ikut serta dalam Survei Tahunan Pengunjung 2023 dari kami! Beri tahu kami apa pendapat Anda mengenai chrome, sebagai ucapan ” Terima Kasih”, anda akan mendapatkan kesempatan untuk memenangkan Apple Iphone 13 Pro!",Penipuan,2023
"Keputusan Final Jokowi, Ferdy Sambo Akan Segera Ditembak Mati",“KEPUTUSAN JOKOWI SUDAH FINAL :bangbang: FERDY SAMBO CS SIAP – SIAP” “KEPUTUSAN FINAL JOKOWI. FERDY SAMBO AKAN SEGERA DI TEMBAK MATI,Pemerintahan,2023
Foto Anak Korban Penculikan Yang Diambil Organ Tubuhnya di Depok,Foto dr Babinsa Depok terlaot korban penculikan dan pembunuhan taget anak2 umur 3-5 thn. Korban diambil organ tubuhnya. korban anak warga depok pelaku sdh tertangkap 2hr lalu warga Cibinong laki n perermpuan. Korban lainnya 3 anak diambil organ jantung dan mata. Kita tetap waspada jaga anak cucu di rumah dan sekolahan. Info ini bukan hock. Langsung dr petugas Babinsa saat patroli di komplek rumah tadi malam,Kriminal,2023
Prabowo Bantu Jokowi Lawan Eropa,"Bantu Jokowi lawan Eropa! Prabowo siapkan 44 kapal perang baru, kapal induk Indonesia….",Pemerintahan,2023
Video “Viral!! Mahfud MD Bongkar Kasus Suap Dibalik Sidang Ferdy Sambo”,"“Viral!! Mahfud MD B0ngk4r K4sus Su4p Dibalik Sid4ang Ferdy Sambo” “ADA AMPLOP TERSELUBUNG, MAHFUD MD TUNTUT KERAS SIDANG VONIS SAMBO”",Kriminal,2023
REKAMAN CCTV PENCULIKAN ANAK DIBIUS DAN DIMASUKKAN KARUNG DI BEKASI,Video kamera CCTV merekam penculikan anak maein sendirian dibius dan dimasukkan dlm karung terjadi di wisma asri bekasi berhati2lah yg punya anak jangan kasih maen jauh2 dan main diawasin.,Kriminal,2023
Seseorang Bisa Mendapatkan Vaksin mRNA Dengan Memakan Daging Hewan Ternak yang Sudah Tervaksinasi mRNA,"Laporan: vaksin mRNA sedang disuntikkan ke ternak. Vaksin mRNA sedang disuntikkan ke ternak dan hewan pendamping, kata Dr. Robert Malone. Artinya, jika Anda mengonsumsi hewan yang divaksinasi, vaksin mRNA masuk ke tubuh Anda.",Kesehatan,2023
Venna Melinda Meninggal Dunia,"INNALILLAHI: Pesan Terakhir “Venna Melinda” Sebelum Alm, Meninggal Dunia",Lain-lain,2023
Coach Rahmad Darmawan Memberikan Dukungan La Nyalla Mattalitti Menjadi Ketua Umum PSSI,Rahmad Darmawan Pinta Voter Sadar dan Pilih La Nyalla Jadi Ketua Umum PSSI,Lain-lain,2023
Video Banjir Bandang Hanyutkan Batam,"BERITA HARI INI ~ MENGENASKAN, BANJIR BANDANG MEMATIKAN SEKETIKA HANYUTKAN KOTA INI",Bencana Alam,2023
AKUN WHATSAPP WAKIL BUPATI SUKOHARJO AGUS SANTOSA MENWARKAN PROGRAM BANTUAN,"“Alhamdulillah baik kalua begitu bapak. Sebelumnya perkenalkan saya bpk, H Agus Santosa WAKIL BUPATI Sukoharjo. Mohon maaf mengganggu waktunya, ada yang perlu saya sampaikan terkait program bantuan dana hibah untuk MASJID MUSHOLAH tahun anggaran 2023 untuk tahun anggaran 2022 apakah Masjid Al Wahyu kemarin sudah mendapatkan bantuan dari pemkab”",Penipuan,2023
Surat Undangan Seminar Budaya Mutu Oleh Ditjen Belmawa Kemendikbudristek,"Dalam rangka meningkatkan mutu Pendidikan tinggi melalui upayamembangun budaya mutu di perguruan tinggi, komitmen pimpinan dan badan pengelola perguruan tinggi merupakan salah satu factor kunci keberhasilan. Komitmen dimaksud tercermin dalam kebijakan dan pelanggaran yang mendukung upaya peningkatan mutu melalui .. system penjaminan mutu internal (SPMI). Mengingat pentingya peran pimpinan dari … penerapan system pengelola perguruan tinggi dalam penjaminan mutu. Tahun anggaran 2023 direktorat … dan Kemahasiswaan melalui Direktorat Penjaminan Mutu akan menyelenggarakan …: “SEMINAR BUDAYA MUTU KEPADA PIMPINAN PERGURUAN TINGGI” Yang akan dilaksanakan pada: Hari/Tanggal: Rabu, 25 Januari Waktu: .. Tempat: Hotel Kartika … Gatot Subroto, Kav. 18-20, Karet Semanggi – Jakarta Melalui surat ini … perwakilan, yaitu pimpinan perguruan tinggi, ketua Yayasan dan ketua Lembaga penjamin mutu untuk menghadiri seminar tersebut dengan biaya pendaftaran sebesar …juta rupiah) per peserta. Untuk pendaftaran silakan menghubungi: Bapak Ari Pratama, WA ….4448. Atas perhatian dan kehadirannya, kami ucapkan terima kasih”",Penipuan,2023
Video “TNI GEMPUR MARKAS ISRAEL DAN PASUKAN AS HINGGA BEGINI”,"DI SIARKAN MEDIA PALESTINA,.!! TNI GEMPUR MARKAS ISRAEL DAN PASUKAN AS HINGGA BEGINI”.",Internasional,2023
REKRUTMEN OLEH PT PERTAMINA JANUARI 2023,"Perihal: Surat Panggilan Test Calon Karyawan (i) PT Pertamina (persero) Di. Tempat Berdasarkan hasil evaluasi tim seleksi terhadap lamaran kerja Saudara yang kami terima. Dengan ini kami sampaikan bahwa berkas lamaran Saudara memenuhi persyaratan yang telah ditentukan Panitia seleksi Recruitment karyawan (1) PT Pertamina Diharapkan kehadiran Saudara untuk mengikuti Tes seleksi Wawancara yang akan dilaksanakan pada: Hari Tanggal: Senin-Selasa 30-31 Januari 2023 (dua hari) Waktu : Pkl. 08.30 (Harap Hadir 45 Menit Sebelum Dimulai Untuk Registrasi) Tempat : Kantor Cabang Jl. Sugianyar No.10, Dangin Puri, Denpasar Tim, Kota Denpasar, Bali,80232, Indonesia. Tanda pengenal Saudara untuk dapat mengikuti seleksi wawancara ini adalah dengan membawa bukti : 1. Surat Panggilan Test Wawancara Dan Surat Jalan Serta Minimal Surat Vaksin Pertama 2 KTP (Kartu Identitas Diri) asli untuk ditunjukkan 3. Pas fhoto terbaru (berwarna) ukuran 4×6 sebanyak 1 lembar. 4. Berkas yang dibawa dilengkapi pada saat Pengiriman lamaran untuk diserahkan kepada petugas HRD Kami, Apabila pada pelaksanaan tes masih terdapat berkas yang belum dilengkapi maka peserta dinyatakan gugur. Apabila Saudara dinyatakan lulus dalam proses wawancara (akan disampaikan melalui email), maka keesokan harinyadan langsung mengikuti Tes Kesehatan(Laboratorium & Kebugaran) yang jadwal dan lokasinya akan kami Kirim Ke E-mail kepada Kandidat yang lulus saja. Yang perlu diperhatikan untuk Tes Kesehatan, Laboratorium dan Kebugaran: 1. Puasa satu hari sebelum pelaksanaan (H-1) mulai pukul 22.00 wib (kecuali air putih), 2. Tidak diperkenankan merokok & makan permen karet 3. Membawa sedikit faeces tinja di tempat yang kering dan bersih 4. Membawa pakaian & sepatu olah raga untuk pemeriksaan kebugaran Sebelum tes hindari Aktifitas fisik yang melelahkan 5. Tidak diperkenankan menggunakan contact lens selama melakukan Tes Kesehatan. Tanda pengenal Saudara untuk dapat mengikuti seleksi Test Kesehatan. Laboratorium dan Kebugaran ini Adalah dengan Membawa bukti a. Surat Panggilan Tes Kesehatan, Laboratorium dan Kebugaran Print Out). b. KTP (Kartu Identitas Diri) asli dan foto copy 1 Lembar c. Pas fhoto terbaru (berwarna) ukuran 4×6 sebanyak 1 lembar. Surat panggilan ini bukan merupakan suatu ikatan dalam bentuk apapun antara saudara dengan pertamina dan Bukan merupakan bukti bahwa saudara telah diterima menjadi pekerja Pertamina untuk konfirmasi kehadiran, Saudara wajib me-reply WhatsApp dengan subject:#PERTAMINA NAMA HADIR® Ke Bagian Travel Demikian untuk diketahui dan atas perhatian Saudara diucapkan terima kasih",Penipuan,2023
ATRIBUT DAN BALIHO ANIES DIBAKAR," BREAKING NEWS.!! ATRIBUT & BALIHO ANIES, DIBAK4R PENOLAKAN KAMPANYE, DIBANDUNG MENGERIKAN. Nasdem Ketar-ketir:bangbang:Anies Berduka Di Bandung, Penolakan Kampanye Mengerikan",Politik,2023
LAGA DEBUT CRISTIANO RONALDO DI AL-NASSR DISAKSIKAN HAMPIR 15 MILIAR MANUSIA DARI TAYANGAN TELEVISI,"Laga debut Cristiano Ronaldo di Al Nasr ketika melawan Ettifaq FC disaksikan hampir 15 miliar manusia dari tayangan televisi, jumlah ini jauh berkali kali lipat dari tayangan final piala dunia yang mendapat 2 miliar penonton, orang orang tau Cristiano Ronaldo adalah goat asli",Internasional,2023
BILL GATES AKAN MEMASUKKAN VAKSIN MRNA KE MAKANAN UNTUK MEMAKSA ORANG YANG TIDAK DIVAKSINASI,"Bill Gates berjanji untuk memompa mRNA ke dalam persediaan makanan untuk “memaksa” yang tidak divaksinasi ?????? Saat elit globalis terus merasa semakin sulit membuat umat manusia tunduk pada vaksin Covid dan penguat yang tak ada habisnya, mereka harus menemukan cara baru yang licik untuk memaksakan vaksin mereka pada kita. Alih-alih mengakui bahwa umat manusia telah menyadari kebenaran tentang vaksin Covid-19 eksperimental yang menghancurkan, Bill Gates, yang bukan seorang dokter, berlipat ganda dan mengambil tanggung jawab untuk memvaksinasi dunia secara diam-diam.",Kesehatan,2023
STRIKER NEWCASTLE ALLAN SAINT-MAXIMIN AKAN DINATURALISASI,striker gacor dari Afrika memiliki darah Indonesia (Dalam video) striker ini akan di naturalisasi,Internasional,2023
Sering Masturbasi Dapat Menurunkan IQ,"Menurut penelitian, pria yang rutin crt sekali atau lebih setiap harinya dapat merusak pikirannya. 20% kandungan sprma adalah cairan cerebrospinal yang bermanfaat untuk otak. Cr?t yang berlebihan dapat membuat kekurangan cairan tersebut dan membuat pria sulit berkonsentrasi, depresi kronis, hilangnya gairah sksual, dan hal lainnya. dengan kata lain benar adanya bahwa terlalu berlebihan crt dapat membuat pria menjadi lebih bodoh.",Kesehatan,2023
KROYOK NEGERI KANGGURU45 NEGARA SAHABAT NYATAKAN BANTU RI PORAK-PORADAKAN AUSSIE DI PULAU SENGKETA,KROYOK NEGERI KANGGURU45 NEGARA SAHABAT NYATAKAN BANTU RI PORAK-PORADAKAN AUSSIE DI PULAU SENGKETA,Internasional,2023
Pamflet Kegiatan Penghimpunan/Penggalangan Dana Membantu Korban Bencana Alam oleh Kemensetneg,"“RELAWAN TIM PEMULIHAN JAWA TENGAH SEMARANG, KUDUS, KENDAL PATI. KEMBALI NORMAL”",Penipuan,2023
Video Kericuhan antara Masyarakat Pribumi dengan Non Pribumi,"“KISRUH NEGERI ANTARA PRIBUMI DAN NON PRI Berita terbaru…Tambang Emas Indomoro yg dikelola oleh China didaerah Kab. Murung Raya, Kalimantan Tengah mulai bergejolak. Nampak aparat keamanan menembakan gas air mata tp ditantang oleh penduduk lokal #Semangat411TurunkanJokowi”",Kriminal,2023
Kolonel TNI Aktif Mempertanyakan Kampanye dan Tata Cara Pencoblosan Berbahasa Mandarin,"Kolonel Aktif TNI mempertanyakan Kampanye & Tata Cara Pencoblosan berbahasa Mandarin Buat Apa, Kan Pemilihnya Orang Indonesia, berarti Selama Ini Mendatangkan Jutaan TKA China untuk Ikut PEMILU",Politik,2023
Perubahan Tarif Transaksi BRI,"Sehubungan dengan meningkatnya kualitas dan kenyamanan nasabah bertransaksi. Mulai nanti malam pergantian hari dan pergantian tanggal, pihak Bank BRI mengubah Tarif Transfer Bank lain: Rp. 6.500 IDR / Transaksi, Di ubah menjadi, Tarif: Rp. 150.00 / Bulan.(Auto debit dari rekening tabungan) Unlimited transaksi.",Penipuan,2023
Ganjar Pranowo Dipecat dari PDIP,RESMI: ganjar pr4n0w0 di pecat dari pedeipeh,Politik,2023
Akun WhatsApp Dinas Sosial Kota Balikpapan Menawarkan Bantuan,"“Assalamualaikum bisa bicara dengan salah satu ketua atau pengurus MASJID Nurul Amin Kota Balikpapan ?. Perkenalkan saya Sekretaris Daerah dari DINAS SOSIAL Kota Balikpapan , (Iswayudi, S.STP, M.Si ) Niat dan tujuan saya menghubungi bapak ini ada sedikit rezeki untuk keperluan atau pembangunan di Masjid nurul amin Semoga nanti apa yang diberikan menjadikan amal jariyah yang berkah bermanfaat bagi semuanya.”",Penipuan,2023
"TAK TERIMA BAPAKNYA DIKATAIN FIRAU, GIBRAN LAYANGKAN 5 TUNTUTAN HUKUM !! CAK NUN LANGSNG KEJANG²","TAK TERIMA BAPAKNYA DIKATAIN FIRAU, GIBRAN LAYANGKAN 5 TUNTUTAN HUKUM !! CAK NUN LANGSNG KEJANG²",Kriminal,2023
"MENCEKAM , KOTA KE DUA MALAYSIA HANCUR JADI ARANG","MENCEKAM , KOTA KE DUA MALAYSIA HANCUR JADI ARANG. TNI bombardir Negeri Jiran dengan puluhan rudal dan roket, kota kucing hancur lebur….",Internasional,2023
